,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías
0,0,1,1,2019-04-10 00:04:14.000,1.11576740772386e+18,1.11576740772386e+18,es,"{'id': 'e88681ebd19bf4f7', 'url': 'https://api.twitter.com/1.1/geo/id/e88681ebd19bf4f7.json', 'place_type': 'city', 'name': 'Tomares', 'full_name': 'Tomares, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.063505, 37.358041], [-6.063505, 37.381903], [-6.02251, 37.381903], [-6.02251, 37.358041]]]}, 'attributes': {}}",En el estudio de @savetherave haya mas humo q un puesto de castañas,vasilanduki,España,Tomares,"(-6.063505, 37.358041)",Andalucía,yes,['castañas'],245.0,52.96,2.2,3.17,0.0,5.1,['Frutos secos']
1,1,3,3,2019-04-10 00:09:45.000,1.1157687938029896e+18,1.1157687938029896e+18,es,"{'id': '1b5615b442d2aec0', 'url': 'https://api.twitter.com/1.1/geo/id/1b5615b442d2aec0.json', 'place_type': 'city', 'name': 'Santa Pola', 'full_name': 'Santa Pola, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.670186, 38.152141], [-0.670186, 38.247203], [-0.5071019999999999, 38.247203], [-0.5071019999999999, 38.152141]]]}, 'attributes': {}}","@lordmagnusen Relleno de panceta, con queso por arriba?",glosada,Spain,Santa Pola,"(-0.670186, 38.152141)",Comunidad Valenciana,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos']
2,2,4,4,2019-04-10 00:10:23.000,1.1157689569277748e+18,1.1157689569277748e+18,es,"{'id': '8c86b8b4cb716103', 'url': 'https://api.twitter.com/1.1/geo/id/8c86b8b4cb716103.json', 'place_type': 'city', 'name': 'Sevilla', 'full_name': 'Sevilla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.8186599999999995, 37.452783], [-5.8186599999999995, 37.313613]]]}, 'attributes': {}}",Y tráeme chocolate,,España,Sevilla,"(-6.02843, 37.313613)",Andalucía,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,['Dulces']
3,3,5,5,2019-04-10 00:15:16.000,1.1157701830528572e+18,1.1157701830528572e+18,es,"{'id': '7974acce42d034d5', 'url': 'https://api.twitter.com/1.1/geo/id/7974acce42d034d5.json', 'place_type': 'city', 'name': 'Santa Cruz de Tenerife', 'full_name': 'Santa Cruz de Tenerife, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-16.343595, 28.409769], [-16.343595, 28.589393], [-16.119363, 28.589393], [-16.119363, 28.409769]]]}, 'attributes': {}}",Pa que hago una presentación en InDesign si tardo un huevo y me quedan mal si es que me voy a dormir tarde ahora por gilipollas,yupi,España,Santa Cruz de Tenerife,"(-16.343595, 28.409769)",Islas Canarias,yes,['huevo'],150.0,0.3,11.1,12.5,385.0,0.0,['Productos lacteos']
4,4,6,6,2019-04-10 00:18:34.000,1.1157710126820106e+18,1.1157710126820106e+18,es,"{'id': '00ab08eef1b62e92', 'url': 'https://api.twitter.com/1.1/geo/id/00ab08eef1b62e92.json', 'place_type': 'city', 'name': 'Las Palmas de Gran Canaria', 'full_name': 'Las Palmas de Gran Canaria, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-15.525504, 28.024813], [-15.525504, 28.181213], [-15.394194, 28.181213], [-15.394194, 28.024813]]]}, 'attributes': {}}",Galletas preferida,Julio,España,Las Palmas de Gran Canaria,"(-15.525504, 28.024813)",Islas Canarias,yes,['Galletas'],483.0,64.31,21.77,6.76,50.17,3.21,['Dulces']
5,5,9,9,2019-04-10 00:28:25.000,1.1157734937387132e+18,1.1157734937387132e+18,es,"{'id': '378d45460703dba1', 'url': 'https://api.twitter.com/1.1/geo/id/378d45460703dba1.json', 'place_type': 'city', 'name': 'Cabanillas del Campo', 'full_name': 'Cabanillas del Campo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.294308, 40.592038], [-3.294308, 40.666692], [-3.199618, 40.666692], [-3.199618, 40.592038]]]}, 'attributes': {}}","Me fascina la gente que intenta chuparse el codo, la que se bebe el zumo de naranja como un chupitazo porque se le… https://t.co/FljdzYvAQt",María,España,Cabanillas del Campo,"(-3.294308, 40.592038)",Castilla la Mancha,yes,"['zumo', 'zumo de naranja', 'naranja']",160.0,45.0,0.2,2.3,0.0,4.1,"['Bebidas', 'Bebidas', 'Frutas']"
6,6,10,10,2019-04-10 00:32:35.000,1.1157745424866918e+18,1.1157745424866918e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@Rest_Salino Fantástico el cocido,jose,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['cocido'],202.0,7.69,12.07,15.16,47.0,1.6,['Carnes']
7,7,12,12,2019-04-10 00:42:48.000,1.1157771112922972e+18,1.1157771112922972e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@CiclopeGH @mediasetcom @Supervivientes Mucha pasta tiene que deber a Hacienda para meterse a esto!!!,Neuman,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,['Cereales y derivados']
8,8,14,14,2019-04-10 00:51:30.000,1.1157793009747886e+18,1.1157793009747886e+18,es,"{'id': 'd16c1b8ae1635978', 'url': 'https://api.twitter.com/1.1/geo/id/d16c1b8ae1635978.json', 'place_type': 'city', 'name': 'A Coruña', 'full_name': 'A Coruña, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-8.471284, 43.301377], [-8.471284, 43.389945], [-8.374342, 43.389945], [-8.374342, 43.301377]]]}, 'attributes': {}}",@monomiki La de la manzana?,Friendly,España,A Coruña,"(-8.471284, 43.301377)",Galicia,yes,['manzana'],50.0,24.0,0.0,0.3,0.0,2.0,['Frutas']
9,9,16,17,2019-04-10 01:01:14.000,1.1157817525330044e+18,1.1157817525330044e+18,es,"{'id': 'cbdb0e7018443220', 'url': 'https://api.twitter.com/1.1/geo/id/cbdb0e7018443220.json', 'place_type': 'city', 'name': 'Murcia', 'full_name': 'Murcia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.385233, 37.715968], [-1.385233, 38.117714], [-0.850358, 38.117714], [-0.850358, 37.715968]]]}, 'attributes': {}}",acabo de leer edto a las 3 de la mañana mientrad juego al lol y me como unas galletas,eloy,España,Murcia,"(-1.385233, 37.715968)",Murcia,yes,['galletas'],483.0,64.31,21.77,6.76,50.17,3.21,['Dulces']
10,10,19,20,2019-04-10 01:06:04.000,1.1157829690530202e+18,1.1157829690530202e+18,es,"{'id': 'd16c1b8ae1635978', 'url': 'https://api.twitter.com/1.1/geo/id/d16c1b8ae1635978.json', 'place_type': 'city', 'name': 'A Coruña', 'full_name': 'A Coruña, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-8.471284, 43.301377], [-8.471284, 43.389945], [-8.374342, 43.389945], [-8.374342, 43.301377]]]}, 'attributes': {}}","@miyawakidinades Las manzanas rojas son mejores que las manzanas verdes, no tengo pruebas pero tampoco dudas",TastyTurtle,España,A Coruña,"(-8.471284, 43.301377)",Galicia,yes,"['manzanas', 'manzana']",100.0,48.0,0.0,0.6,0.0,4.0,"['Frutas', 'Frutas']"
11,11,21,22,2019-04-10 01:22:44.000,1.115787163529044e+18,1.115787163529044e+18,es,"{'id': 'cd43ea85d651af92', 'url': 'https://api.twitter.com/1.1/geo/id/cd43ea85d651af92.json', 'place_type': 'city', 'name': 'Bilbao', 'full_name': 'Bilbao, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.98601, 43.213654], [-2.98601, 43.290145], [-2.880325, 43.290145], [-2.880325, 43.213654]]]}, 'attributes': {}}",@buchlovesthe50s o lomo con pimientos 😂,ZombiQuotes,España,Bilbao,"(-2.98601, 43.213654)",Pais Vasco,yes,"['pimientos', 'lomo']",266.0,4.5,14.87,28.3,75.0,1.8,"['Vegetales', 'Carnes']"
12,12,22,23,2019-04-10 01:25:22.000,1.1157878269505618e+18,1.1157878269505618e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@DosCejasPoblads Quiero un helado!!!,Chris,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['helado'],228.0,28.2,11.0,3.8,34.0,1.2,['Productos lacteos']
13,13,23,26,2019-04-10 02:29:08.000,1.1158038723358884e+18,1.1158038723358884e+18,es,"{'id': '00ab08eef1b62e92', 'url': 'https://api.twitter.com/1.1/geo/id/00ab08eef1b62e92.json', 'place_type': 'city', 'name': 'Las Palmas de Gran Canaria', 'full_name': 'Las Palmas de Gran Canaria, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-15.525504, 28.024813], [-15.525504, 28.181213], [-15.394194, 28.181213], [-15.394194, 28.024813]]]}, 'attributes': {}}",Ella no cocina arroz pero cocina crack,xoxistaní,España,Las Palmas de Gran Canaria,"(-15.525504, 28.024813)",Islas Canarias,yes,['arroz'],387.0,172.0,0.9,7.0,0.0,0.2,['Cereales y derivados']
14,14,24,27,2019-04-10 02:45:40.000,1.1158080315042528e+18,1.1158080315042528e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}",@JessierthPerea y en China cero pero sin embargo toca  hacerle sus cositas para joderle el hígado,Erick,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['hígado'],137.0,1.2,4.7,22.12,492.0,0.0,['Carnes']
15,15,25,28,2019-04-10 02:48:10.000,1.1158086608930734e+18,1.1158086608930734e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Todo lo que no sea pagar 600 euros por un finde en una casa rural con Arenilla me parecerá poca leche. https://t.co/R5TMFiAHGz,Angel,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos']
16,16,26,29,2019-04-10 02:55:12.000,1.1158104333682442e+18,1.1158104333682442e+18,es,"{'id': '1e69d9e28891981f', 'url': 'https://api.twitter.com/1.1/geo/id/1e69d9e28891981f.json', 'place_type': 'city', 'name': 'Finestrat', 'full_name': 'Finestrat, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.24478999999999998, 38.523613], [-0.24478999999999998, 38.61029], [-0.158271, 38.61029], [-0.158271, 38.523613]]]}, 'attributes': {}}",pollo no te mueras,,España,Finestrat,"(-0.24478999999999998, 38.523613)",Comunidad Valenciana,yes,['pollo'],166.0,0.0,9.6,19.9,99.0,0.0,['Productos avicolas']
17,17,28,31,2019-04-10 03:39:34.000,1.1158215970997372e+18,1.1158215970997372e+18,es,"{'id': '45e538f9e4ede629', 'url': 'https://api.twitter.com/1.1/geo/id/45e538f9e4ede629.json', 'place_type': 'city', 'name': 'Lloseta', 'full_name': 'Lloseta, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.824775, 39.693691], [2.824775, 39.746588], [2.888631, 39.746588], [2.888631, 39.693691]]]}, 'attributes': {}}","¡Amor por el brócoli! 

¿Os acordáis del día que mi hija Arwen descubrió el brócoli y cómo lo disfrutaba? 

En casa… https://t.co/u3dMPRFti6",Virginia,España,Lloseta,"(2.824775, 39.693691)",Islas Baleares,yes,"['fruta', 'brócoli']",133.0,52.4,0.5,3.9,0.0,4.1,"['Frutas', 'Vegetales']"
18,18,30,33,2019-04-10 03:47:23.000,1.1158235662750844e+18,1.1158235662750844e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@esnaljuan1 @membrillospatxi ""Unos sacuden el árbol y otros recogen las nueces"". No lo dijo, se le fue... pura mier… https://t.co/DaP7xOCsJg",Lola,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['nueces'],595.0,3.3,63.28,14.0,0.0,5.2,['Frutos secos']
19,19,33,36,2019-04-10 04:26:30.000,1.1158334097949696e+18,1.1158334097949696e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}",@josevinuela Acá le dejo el precio de una (1) cebolla en España (Lidl). Saludos https://t.co/wkk6ptJ4uk,Juan,España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['cebolla'],26.0,5.3,0.0,1.125,0.0,1.8,['Vegetales']
20,20,34,37,2019-04-10 04:27:05.000,1.115833555677012e+18,1.115833555677012e+18,es,"{'id': 'bb40a18222d997ca', 'url': 'https://api.twitter.com/1.1/geo/id/bb40a18222d997ca.json', 'place_type': 'city', 'name': 'Cullera', 'full_name': 'Cullera, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.30894, 39.103298], [-0.30894, 39.225414], [-0.21625899999999998, 39.225414], [-0.21625899999999998, 39.103298]]]}, 'attributes': {}}","@TaxiNissanLeaf Pero... habrás cambiado filtros, pastillas de freno, aceite y catalizador no??? IRONIC MODE ON  😉",,España,Cullera,"(-0.30894, 39.103298)",Comunidad Valenciana,yes,['aceite'],442.0,0.0,100.0,0.0,0.0,0.0,['Grasas y aceites']
21,21,35,38,2019-04-10 04:27:29.000,1.1158336583493756e+18,1.1158336583493756e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}","Ni contigo, ni con pan, ni con cebolla.",Juan,España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['cebolla'],26.0,5.3,0.0,1.125,0.0,1.8,['Vegetales']
22,22,36,39,2019-04-10 04:49:41.000,1.1158392421424742e+18,1.1158392421424742e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",realmente lo unico que quiero en esa vida es un pato,gbgr,Spain,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pato'],138.0,0.0,6.5,19.7,110.0,0.0,['Productos avicolas']
