,Unnamed: 0,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood
4,6,2019-04-12 08:49:37.000,1.1166243988808868e+18,1.1166243988808868e+18,es,"{'id': '387b00909c2e7031', 'url': 'https://api.twitter.com/1.1/geo/id/387b00909c2e7031.json', 'place_type': 'city', 'name': 'Granada', 'full_name': 'Granada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.699796, 37.135903], [-3.699796, 37.224915], [-3.496139, 37.224915], [-3.496139, 37.135903]]]}, 'attributes': {}}",@CarlosJoelAP Pídeme un zumo de naranja 🍊,"{'id': 341190854, 'id_str': '341190854', 'name': 'Peter Champs', 'screen_name': 'PedroCCecilia', 'location': 'En el mundo', 'url': 'https://www.instagram.com/peterchampsc/', 'description': 'Un ir y venir de la vida. Todo lo que viene va. Quién quiera saber que pregunte. RRLL y RRHH #Apple #Jaén #Granada #World #Gaga 🖤♐️', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 393, 'friends_count': 519, 'listed_count': 3, 'favourites_count': 17881, 'statuses_count': 7180, 'created_at': 'Sat Jul 23 23:39:45 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '19CF86', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1079484023171362822/nvq5byJP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1079484023171362822/nvq5byJP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/341190854/1546204023', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Granada,"(-3.699796, 37.135903)",Andalucía,yes
6,10,2019-04-12 08:50:51.000,1.116624711981527e+18,1.116624711981527e+18,es,"{'id': '3afc29d1fe76301f', 'url': 'https://api.twitter.com/1.1/geo/id/3afc29d1fe76301f.json', 'place_type': 'city', 'name': 'Zaragoza', 'full_name': 'Zaragoza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.174093, 41.451835], [-1.174093, 41.931438], [-0.680572, 41.931438], [-0.680572, 41.451835]]]}, 'attributes': {}}",@COPE @policia Les he dicho que en gym me robaron hasta la crema del cuerpo?. Se divertían mucho a mi costa. Se les… https://t.co/3cG8vD8L9l,"{'id': 866739822622367745, 'id_str': '866739822622367745', 'name': 'RosaMaría', 'screen_name': 'RosaMar08877115', 'location': 'Zaragoza, España', 'url': None, 'description': '.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 0, 'friends_count': 25, 'listed_count': 0, 'favourites_count': 2148, 'statuses_count': 4414, 'created_at': 'Mon May 22 19:37:31 +0000 2017', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1115256142161166343/9AkneXoO_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1115256142161166343/9AkneXoO_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Zaragoza,"(-1.174093, 41.451835)",Aragón,yes
7,14,2019-04-12 08:53:05.000,1.1166252705537638e+18,1.1166252705537638e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",@Alvaro845 un litro de aceite y a rezar,"{'id': 800638320019525633, 'id_str': '800638320019525633', 'name': 'Guti Abusos', 'screen_name': 'gutiabusos', 'location': 'Granollers, España', 'url': 'http://www.twitch.tv/gutiabusos', 'description': 'Clash Royale Team Manager for @giantsgaming. Captain of Spain @ClashRoyaleSE | Master Gemero | cr@giantsgaming.pro | #VodafoneGiants Amo a Azeroth', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 19561, 'friends_count': 679, 'listed_count': 33, 'favourites_count': 10029, 'statuses_count': 26276, 'created_at': 'Mon Nov 21 09:53:45 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1068629684269793285/VTSBWhdT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1068629684269793285/VTSBWhdT_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/800638320019525633/1533723284', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes
8,15,2019-04-12 08:53:43.000,1.116625432743334e+18,1.116625432743334e+18,es,"{'id': '528fc168bb2d0595', 'url': 'https://api.twitter.com/1.1/geo/id/528fc168bb2d0595.json', 'place_type': 'city', 'name': 'Ribadesella', 'full_name': 'Ribadesella, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.193245, 43.406412], [-5.193245, 43.485074], [-4.981378, 43.485074], [-4.981378, 43.406412]]]}, 'attributes': {}}","#fridaysforfuture #compromisoyaccion ¿Acabaremos comiendo gazpacho en Enero en vez de un buen pote, caldo gallego,… https://t.co/X2kEdyq2rq","{'id': 1407342510, 'id_str': '1407342510', 'name': 'Pedro Martino', 'screen_name': 'PedroMartinoG', 'location': 'Oviedo', 'url': 'http://www.naguar.es', 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 761, 'friends_count': 202, 'listed_count': 15, 'favourites_count': 831, 'statuses_count': 1090, 'created_at': 'Mon May 06 10:12:04 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/458503047954841600/TgfTw67O_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/458503047954841600/TgfTw67O_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1407342510/1454166864', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Ribadesella,"(-5.193245, 43.406412)",Asturias,yes
9,18,2019-04-12 08:55:10.000,1.1166257971067168e+18,1.1166257971067168e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}","Si no teneis ni idea de hacer eso, pobre piña socio","{'id': 405842431, 'id_str': '405842431', 'name': 'MIRIAM', 'screen_name': 'SrtaMiriam1910', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 806, 'friends_count': 482, 'listed_count': 3, 'favourites_count': 8873, 'statuses_count': 19390, 'created_at': 'Sat Nov 05 21:47:09 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '89C9FA', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_tile': True, 'profile_link_color': '4A913C', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EADEAA', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1114167935780753408/AeEdj0UV_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1114167935780753408/AeEdj0UV_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/405842431/1554755740', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes
11,20,2019-04-12 08:55:48.000,1.1166259575303904e+18,1.1166259575303904e+18,es,"{'id': '1d625ac4df32dd0e', 'url': 'https://api.twitter.com/1.1/geo/id/1d625ac4df32dd0e.json', 'place_type': 'city', 'name': 'Aracena', 'full_name': 'Aracena, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.675274, 37.750636], [-6.675274, 37.98747], [-6.448526, 37.98747], [-6.448526, 37.750636]]]}, 'attributes': {}}","Me choca la gente que dice ""quiero jamón serrano"" refiriendose al jamón de bellota y que luego, cuando ven que su t… https://t.co/ereQBflQKa","{'id': 1059129564419493888, 'id_str': '1059129564419493888', 'name': ""⚔️I'm knight of the castle⚔️"", 'screen_name': 'LoveSondam', 'location': 'Entre el Pandemonium y Atlas.', 'url': None, 'description': '[25 otoños]\nGótica loca de los hámsteres\n💙❄Solía ser la Ice Queen; ahora he vuelto como la Hija de las Tinieblas ⚡🐹\n\n#RWBY [nD] #Danganronpa\n#LGTBFriendly', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 119, 'friends_count': 71, 'listed_count': 1, 'favourites_count': 1924, 'statuses_count': 1603, 'created_at': 'Sun Nov 04 17:05:40 +0000 2018', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '981CEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1114307448129638400/EyP-BWAH_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1114307448129638400/EyP-BWAH_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1059129564419493888/1541594428', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Aracena,"(-6.675274, 37.750636)",Andalucía,yes
12,21,2019-04-12 08:56:25.000,1.116626111318782e+18,1.116626111318782e+18,es,"{'id': '0488e361d89b4397', 'url': 'https://api.twitter.com/1.1/geo/id/0488e361d89b4397.json', 'place_type': 'city', 'name': 'Ferrol', 'full_name': 'Ferrol, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-8.347343, 43.453301], [-8.347343, 43.569119], [-8.191328, 43.569119], [-8.191328, 43.453301]]]}, 'attributes': {}}",#TiosGuarros y sucios que te espían mientras trabajas y emiten ruidos de cerdo asqueroso🙉🤮 pero no saben que hereda… https://t.co/cQMXnV2gaK,"{'id': 134815119, 'id_str': '134815119', 'name': 'Kelita-K', 'screen_name': 'KelaKarrasko', 'location': 'Ferrol (A Coruña, Galicia)', 'url': 'https://raylossuenosprohibidos.blogspot.com/', 'description': 'Blogger📝&📷📹 Like reading & writing about mystery/horror stories! Nature, my country & vintage culture. Explorer. Exmilitar.👉🏻Millennial no, Milenaria👽', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 442, 'friends_count': 410, 'listed_count': 17, 'favourites_count': 14749, 'statuses_count': 11288, 'created_at': 'Mon Apr 19 14:34:24 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1097887434245881857/b_oUvhq2_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1097887434245881857/b_oUvhq2_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/134815119/1554306286', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Ferrol,"(-8.347343, 43.453301)",Galicia,yes
13,22,2019-04-12 08:58:09.000,1.1166265472034324e+18,1.1166265472034324e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@_kumaaa cambió pepas caseras por un pincho de tortilla. Exijo que le saquen la nacionalidad argentina a la brevedad,"{'id': 383458540, 'id_str': '383458540', 'name': 'Chicha 💚', 'screen_name': 'e_atana', 'location': 'Argentina', 'url': 'https://www.behance.net/eatanasoff', 'description': 'Feminista 💚 SE VA A CAER 💚', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 318, 'friends_count': 1177, 'listed_count': 9, 'favourites_count': 17297, 'statuses_count': 3937, 'created_at': 'Sat Oct 01 22:42:21 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme18/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme18/bg.gif', 'profile_background_tile': False, 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1052679027029229568/cwJq0zcQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1052679027029229568/cwJq0zcQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/383458540/1409349672', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes
15,25,2019-04-12 09:01:02.000,1.1166272718826865e+18,1.1166272718826865e+18,es,"{'id': 'ec2ead284df00347', 'url': 'https://api.twitter.com/1.1/geo/id/ec2ead284df00347.json', 'place_type': 'city', 'name': 'Alcalá de Henares', 'full_name': 'Alcalá de Henares, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.44735, 40.446007], [-3.44735, 40.546039], [-3.283896, 40.546039], [-3.283896, 40.446007]]]}, 'attributes': {}}","¿Quiere el @eajpnv volver a recoger las nueces que ETA derriba del árbol de España?
No lo vamos a consentir.  Tambi… https://t.co/YFKZl9PXdz","{'id': 1520651402, 'id_str': '1520651402', 'name': 'L. Curiel', 'screen_name': 'AzoteCasta', 'location': 'España', 'url': None, 'description': 'España languidece y  se rompe por culpa de una Casta Política corrupta. Es hora de cambiarla por gente decente: Con VOX', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 4323, 'friends_count': 3045, 'listed_count': 63, 'favourites_count': 38738, 'statuses_count': 115706, 'created_at': 'Sat Jun 15 23:10:18 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1037474236691042309/9t-T1AZv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1037474236691042309/9t-T1AZv_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1520651402/1532367218', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Alcalá de Henares,"(-3.44735, 40.446007)",Madrid,yes
16,26,2019-04-12 09:02:41.000,1.116627688012206e+18,1.116627688012206e+18,es,"{'id': 'cbdb0e7018443220', 'url': 'https://api.twitter.com/1.1/geo/id/cbdb0e7018443220.json', 'place_type': 'city', 'name': 'Murcia', 'full_name': 'Murcia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.385233, 37.715968], [-1.385233, 38.117714], [-0.850358, 38.117714], [-0.850358, 37.715968]]]}, 'attributes': {}}","""Cuando el pájaro la pica , es cuando la fruta está rica"" puedes ver algunas de mis braguitas bordadas a mano en la… https://t.co/gL9Zpg0jIV","{'id': 285868731, 'id_str': '285868731', 'name': 'Lady Dilema', 'screen_name': 'ladydilemalive', 'location': 'Murcia', 'url': 'http://www.ladydilema.com', 'description': 'Not millennial. Kind of weirdo.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 411, 'friends_count': 347, 'listed_count': 22, 'favourites_count': 1893, 'statuses_count': 6394, 'created_at': 'Thu Apr 21 23:06:33 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '89C9FA', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1046174497383108609/yZIkCSIW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1046174497383108609/yZIkCSIW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/285868731/1497889155', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Murcia,"(-1.385233, 37.715968)",Murcia,yes
