,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías
0,0,0,0,2019-04-11 08:24:29.000,1.1162556857198632e+18,1.1162556857198632e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",¿Aún no sabes dónde comer las mejores torrijas de Madrid? En @Grupo_JoseLuis_ #PaseodelaHabana tienes una buena mue… https://t.co/LyoxIkj1B8,Lola,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['torrija', 'torrijas']",472.0,36.62,32.0,10.12,176.0,2.0,"['Cereales y derivados', 'Cereales y derivados']"
1,1,1,1,2019-04-11 08:25:09.000,1.1162558538946888e+18,1.1162558538946888e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@ElenaSweety2 Pues trae Donuts de esos fondant que los muerdes y chorrea el chocolate,Albóndiga,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,['Dulces']
2,2,3,3,2019-04-11 08:25:24.000,1.1162559186126766e+18,1.1162559186126766e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@OkAndroid Amos a ver si leemos... que las frambuesas son sólo decorativas!!! Los arándanos están dentro del llamad… https://t.co/FKI6tZOys8,polvora,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['arándanos', 'frambuesas']",71.0,20.05,1.12,1.82,0.0,11.6,"['Frutas', 'Frutas']"
3,3,5,5,2019-04-11 08:25:44.000,1.1162560003052584e+18,1.1162560003052584e+18,es,"{'id': '232c065e26c1807c', 'url': 'https://api.twitter.com/1.1/geo/id/232c065e26c1807c.json', 'place_type': 'city', 'name': 'Solsona', 'full_name': 'Solsona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[1.484881, 41.96765], [1.484881, 42.021445], [1.551316, 42.021445], [1.551316, 41.96765]]]}, 'attributes': {}}","No haberlo votado
O...haber votado 
Ahora.....ajo y agua",M,España,Solsona,"(1.484881, 41.96765)",Cataluña,yes,['ajo'],98.33,37.66,0.51,9.39,0.0,3.91,['Vegetales']
4,4,6,6,2019-04-11 08:26:07.000,1.116256099970224e+18,1.116256099970224e+18,es,"{'id': 'dd5ca53bdb47a1cb', 'url': 'https://api.twitter.com/1.1/geo/id/dd5ca53bdb47a1cb.json', 'place_type': 'city', 'name': 'Toledo', 'full_name': 'Toledo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.179635, 39.810555], [-4.179635, 39.925092], [-3.8147919999999997, 39.925092], [-3.8147919999999997, 39.810555]]]}, 'attributes': {}}",La población española come 8 veces  más #carne procesada de la máxima recomendada  y los niños 4 veces más según un… https://t.co/7DbIGJ5UcT,Noticias,España,Toledo,"(-4.179635, 39.810555)",Castilla la Mancha,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,['Carnes']
5,5,10,11,2019-04-11 08:30:14.000,1.116257132415017e+18,1.116257132415017e+18,es,"{'id': '3a9c654a445000f6', 'url': 'https://api.twitter.com/1.1/geo/id/3a9c654a445000f6.json', 'place_type': 'city', 'name': 'Getafe', 'full_name': 'Getafe, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.761318, 40.266415], [-3.761318, 40.334686], [-3.570016, 40.334686], [-3.570016, 40.266415]]]}, 'attributes': {}}",@Beatriz09368108 @starsailor76 Una torrija bien rebozada miel que estamos en el tiempo,Juan,España,Getafe,"(-3.761318, 40.266415)",Madrid,yes,"['miel', 'torrija']",551.0,95.11,16.0,5.56,88.0,1.0,"['Dulces', 'Cereales y derivados']"
6,6,14,15,2019-04-11 08:33:56.000,1.116258067396612e+18,1.116258067396612e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, Espanya', 'country_code': 'ES', 'country': 'Espanya', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}","@lleidalcor @Crack19291 Yo ahora mismo, de yogur de hamburguesa",Oskar,Espanya,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,"['yogur', 'hamburguesa']",583.0,52.9,29.1,27.06,59.0,4.1,"['Productos lacteos', 'Comida rapida']"
7,7,15,16,2019-04-11 08:34:05.000,1.1162581011649004e+18,1.1162581011649004e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@OkAndroid O no, la decoración siempre es una opción. Si le pones moras serían 5 y así hasta infinidad de imaginación. Jajaja",polvora,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['moras'],45.0,6.24,1.0,1.19,0.0,3.16,['Vegetales']
8,8,17,18,2019-04-11 08:35:25.000,1.1162584371160678e+18,1.1162584371160678e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@manugrandelope Con las torrijas de mi madre no se juega.,Loly,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['torrija', 'torrijas']",472.0,36.62,32.0,10.12,176.0,2.0,"['Cereales y derivados', 'Cereales y derivados']"
9,9,19,20,2019-04-11 08:37:15.000,1.1162588989384212e+18,1.1162588989384212e+18,es,"{'id': 'd1272bba8714df3d', 'url': 'https://api.twitter.com/1.1/geo/id/d1272bba8714df3d.json', 'place_type': 'city', 'name': 'Oviedo', 'full_name': 'Oviedo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.0201, 43.278867], [-6.0201, 43.427428], [-5.7423, 43.427428], [-5.7423, 43.278867]]]}, 'attributes': {}}","Para setas, las que os metéis vosotros @LaLiga",Soldados,España,Oviedo,"(-6.0201, 43.278867)",Asturias,yes,"['té', 'setas']",62.0,10.45,2.6654,3.5,7.0,0.0,"['Bebidas', 'Vegetales']"
