,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías
0,0,1,1,2019-04-16 00:01:01.000,1.1179409269393162e+18,1.1179409269393162e+18,es,"{'id': '56933d34eb0f964a', 'url': 'https://api.twitter.com/1.1/geo/id/56933d34eb0f964a.json', 'place_type': 'city', 'name': 'Albacete', 'full_name': 'Albacete, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.181299, 38.672083], [-2.181299, 39.186567], [-1.62259, 39.186567], [-1.62259, 38.672083]]]}, 'attributes': {}}",@LauraMikelera Y una buena pizza y ya estaría,Alex,España,Albacete,"(-2.181299, 38.672083)",Castilla la Mancha,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida']
1,1,2,2,2019-04-16 00:02:25.000,1.117941277994234e+18,1.117941277994234e+18,es,"{'id': '088b2b6320f918a9', 'url': 'https://api.twitter.com/1.1/geo/id/088b2b6320f918a9.json', 'place_type': 'city', 'name': 'Collado Villalba', 'full_name': 'Collado Villalba, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.030551, 40.616412], [-4.030551, 40.681259], [-3.947006, 40.681259], [-3.947006, 40.616412]]]}, 'attributes': {}}",@BeverlyGili @vepeha_ como la cerveza XDDDD,Marcos,España,Collado Villalba,"(-4.030551, 40.616412)",Madrid,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,['Bebidas Alcoholicas']
2,2,3,3,2019-04-16 00:07:52.000,1.117942646981505e+18,1.117942646981505e+18,es,"{'id': '8c86b8b4cb716103', 'url': 'https://api.twitter.com/1.1/geo/id/8c86b8b4cb716103.json', 'place_type': 'city', 'name': 'Sevilla', 'full_name': 'Sevilla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.8186599999999995, 37.452783], [-5.8186599999999995, 37.313613]]]}, 'attributes': {}}",@sr_muoz Ponte ahora un chuletón de ternera en cada pie miarmaaaaaa!! Enhorabuena Señor.,Agustin,España,Sevilla,"(-6.02843, 37.313613)",Andalucía,yes,['ternera'],222.0,0.0,11.43,29.5,107.0,0.0,['Carnes']
3,3,6,6,2019-04-16 00:49:22.000,1.1179530926438482e+18,1.1179530926438482e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}","@dylantherapy un 7 dice, esta película es la leche 🤨",LX,España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos']
4,4,8,8,2019-04-16 01:04:02.000,1.117956781962158e+18,1.117956781962158e+18,es,"{'id': 'f7e89e60ea52207c', 'url': 'https://api.twitter.com/1.1/geo/id/f7e89e60ea52207c.json', 'place_type': 'city', 'name': 'Algeciras', 'full_name': 'Algeciras, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.550794, 36.050219], [-5.550794, 36.176308], [-5.4223230000000004, 36.176308], [-5.4223230000000004, 36.050219]]]}, 'attributes': {}}","nadie:

señor mayor delante de un huevo: MMMMMIIAAAAAAAAAAAAAAAAAAAAUUUUUUUUUUU!!!!!!",Eme,España,Algeciras,"(-5.550794, 36.050219)",Andalucía,yes,['huevo'],150.0,0.3,11.1,12.5,385.0,0.0,['Productos lacteos']
5,5,9,9,2019-04-16 01:04:36.000,1.1179569242916536e+18,1.1179569242916536e+18,es,"{'id': '7b54c3a7a77cd125', 'url': 'https://api.twitter.com/1.1/geo/id/7b54c3a7a77cd125.json', 'place_type': 'city', 'name': 'Guadalajara', 'full_name': 'Guadalajara, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.313641, 40.460715], [-3.313641, 40.770062], [-2.981278, 40.770062], [-2.981278, 40.460715]]]}, 'attributes': {}}",Las chuches tenían mejor sabor cuando éramos críos.,,España,Guadalajara,"(-3.313641, 40.460715)",Castilla la Mancha,yes,['chuches'],389.0,190.0,0.0,0.4,0.0,0.0,['Dulces']
6,6,10,12,2019-04-16 01:11:04.000,1.1179585528265892e+18,1.1179585528265892e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@waleska0328 No tenéis nadaaa. Que vergüenza de gente... Para cenar, cerdo pata negra y un vinazo.... Así, hasta qu… https://t.co/a8evjtiDlF",Angeles,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['cerdo'],271.0,0.0,17.04,27.34,90.0,0.0,['Carnes']
7,7,12,14,2019-04-16 01:15:50.000,1.1179597527624458e+18,1.1179597527624458e+18,es,"{'id': '3afc29d1fe76301f', 'url': 'https://api.twitter.com/1.1/geo/id/3afc29d1fe76301f.json', 'place_type': 'city', 'name': 'Zaragoza', 'full_name': 'Zaragoza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.174093, 41.451835], [-1.174093, 41.931438], [-0.680572, 41.931438], [-0.680572, 41.451835]]]}, 'attributes': {}}",me lo como con patatas,cris,España,Zaragoza,"(-1.174093, 41.451835)",Aragón,yes,['patatas'],538.0,49.5,34.9,6.5,0.0,4.0,['Vegetales']
8,8,17,19,2019-04-16 01:48:13.000,1.117967900764201e+18,1.117967900764201e+18,es,"{'id': 'd16c1b8ae1635978', 'url': 'https://api.twitter.com/1.1/geo/id/d16c1b8ae1635978.json', 'place_type': 'city', 'name': 'A Coruña', 'full_name': 'A Coruña, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-8.471284, 43.301377], [-8.471284, 43.389945], [-8.374342, 43.389945], [-8.374342, 43.301377]]]}, 'attributes': {}}",@lordarner @Kirisu_Zura Merecido por comer lechuga,Friendly,España,A Coruña,"(-8.471284, 43.301377)",Galicia,yes,['lechuga'],16.0,1.4,0.6,1.12,0.0,1.5,['Vegetales']
9,9,19,22,2019-04-16 02:55:04.000,1.1179847272297062e+18,1.1179847272297062e+18,es,"{'id': 'b538938ca48e6ea0', 'url': 'https://api.twitter.com/1.1/geo/id/b538938ca48e6ea0.json', 'place_type': 'city', 'name': 'Torrevieja', 'full_name': 'Torrevieja, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.7611439999999999, 37.94106], [-0.7611439999999999, 38.04835], [-0.647318, 38.04835], [-0.647318, 37.94106]]]}, 'attributes': {}}",Una taza de leche caliente con una cucharada de cola cao y otra miel y a dormir de una santísima puta vez.,Little,España,Torrevieja,"(-0.7611439999999999, 37.94106)",Comunidad Valenciana,yes,"['leche', 'miel']",380.0,81.5,3.8,3.56,14.0,0.0,"['Productos lacteos', 'Dulces']"
